Title,Body,Labels
Use attribute and target matrices for TensorFlow Linear Regression Python,"<p>I'm trying to follow <a href=""http://www.tensorflow.org/tutorials/mnist/beginners/index.md"" rel=""noreferrer"">this tutorial</a>.</p>

<p>TensorFlow just came out and I'm really trying to understand it.  I'm familiar with <em>penalized linear regression</em> like Lasso, Ridge, and ElasticNet and its usage in <code>scikit-learn</code>.  </p>

<p>For <code>scikit-learn</code> Lasso regression, all I need to input into the regression algorithm is <code>DF_X</code> [an M x N dimensional attribute matrix (pd.DataFrame)] and <code>SR_y</code> [an M dimensional target vector (pd.Series)].  The <code>Variable</code> structure in TensorFlow is a bit new to me and I'm not sure how to structure my input data into what it wants. </p>

<p>It seems as if softmax regression is for classification.  <strong>How can I restructure my <code>DF_X</code> (M x N attribute matrix) and <code>SR_y</code> (M dimensional target vector) to input into <code>tensorflow</code> for linear regression?</strong> </p>

<p>My current method for doing a Linear Regression uses pandas, numpy, and sklearn and it's shown below. I think this question will be really helpful for people getting familiar with TensorFlow:</p>

<pre><code>#!/usr/bin/python
import pandas as pd
import numpy as np
import tensorflow as tf
from sklearn.linear_model import LassoCV

#Create DataFrames for attribute and target matrices
DF_X = pd.DataFrame(np.array([[0,0,1],[2,3,1],[4,5,1],[3,4,1]]),columns=[""att1"",""att2"",""att3""],index=[""s1"",""s2"",""s3"",""s4""])
SR_y = pd.Series(np.array([3,2,5,8]),index=[""s1"",""s2"",""s3"",""s4""],name=""target"")

print DF_X
#att1  att2  att3
#s1     0     0     1
#s2     2     3     1
#s3     4     5     1
#s4     3     4     1

print SR_y
#s1    3
#s2    2
#s3    5
#s4    8
#Name: target, dtype: int64

#Create Linear Model (Lasso Regression)
model = LassoCV()
model.fit(DF_X,SR_y)

print model
#LassoCV(alphas=None, copy_X=True, cv=None, eps=0.001, fit_intercept=True,
#max_iter=1000, n_alphas=100, n_jobs=1, normalize=False, positive=False,
#precompute='auto', random_state=None, selection='cyclic', tol=0.0001,
#verbose=False)

print model.coef_
#[ 0.         0.3833346  0.       ]
</code></pre>
",Choosing a model: Lack of knowledge
Error when building seq2seq model with tensorflow,"<p>I'm trying to understand the seq2seq models defined in seq2seq.py in tensorflow. I use bits of code I copy from the translate.py example that comes with tensorflow. I keep getting the same error and really do not understand where it comes from.</p>

<p>A minimal code example to reproduce the error:</p>

<pre><code>import tensorflow as tf
from tensorflow.models.rnn import rnn_cell
from tensorflow.models.rnn import seq2seq

encoder_inputs = []
decoder_inputs = []
for i in xrange(350):  
    encoder_inputs.append(tf.placeholder(tf.int32, shape=[None],
                                              name=""encoder{0}"".format(i)))

for i in xrange(45):
    decoder_inputs.append(tf.placeholder(tf.int32, shape=[None],
                                         name=""decoder{0}"".format(i)))

model = seq2seq.basic_rnn_seq2seq(encoder_inputs,
                                  decoder_inputs,rnn_cell.BasicLSTMCell(512))
</code></pre>

<p>The error I get when evaluating the last line (I evaluated it interactively in the python interpreter):</p>

<pre><code>    &gt;&gt;&gt;  Traceback (most recent call last):
      File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
      File ""/tmp/py1053173el"", line 12, in &lt;module&gt;
      File ""/usr/local/lib/python2.7/dist-packages/tensorflow/models/rnn/seq2seq.py"", line 82, in basic_rnn_seq2seq
        _, enc_states = rnn.rnn(cell, encoder_inputs, dtype=dtype)
      File ""/usr/local/lib/python2.7/dist-packages/tensorflow/models/rnn/rnn.py"", line 85, in rnn
        output_state = cell(input_, state)
      File ""/usr/local/lib/python2.7/dist-packages/tensorflow/models/rnn/rnn_cell.py"", line 161, in __call__
        concat = linear.linear([inputs, h], 4 * self._num_units, True)
      File ""/usr/local/lib/python2.7/dist-packages/tensorflow/models/rnn/linear.py"", line 32, in linear
        raise ValueError(""Linear is expecting 2D arguments: %s"" % str(shapes))
    ValueError: Linear is expecting 2D arguments: [[None], [None, 512]]
</code></pre>

<p>I suspect the error comes from my side :)
On a sidenote. The documentation and the tutorials are really great but the example code for the sequence to sequence model (the english to french translation example) is quite dense. You also have to jump a lot between files to understand what's going on. Me at least got lost several times in the code.</p>

<p>A minimal example (perhaps on some toy data) of constructing and training a basic seq2seq model would really be helpful here. Somebody know if this already exist somewhere?</p>

<p><strong>EDIT</strong>
I have fixed the code above according @Ishamael suggestions (meaning, no errors returns) (see below), but there are still some things not clear in this fixed version. My input is a sequence of vectors of length 2 of real valued values. And my output is a sequence of binary vectors of length 22. Should my tf.placeholder code not look like the following? <strong>(EDIT yes)</strong></p>

<pre><code>tf.placeholder(tf.float32, shape=[None,2],name=""encoder{0}"".format(i))
tf.placeholder(tf.float32, shape=[None,22],name=""encoder{0}"".format(i))
</code></pre>

<p>I also had to change tf.int32 to tf.float32 above. Since my output is binary. Should this not be tf.int32 for the tf.placeholder of my decoder? But tensorflow complains again if I do this. I'm not sure what the reasoning is behind this.</p>

<p>The size of my hidden layer is 512 here.</p>

<p>the complete fixed code</p>

<pre><code>import tensorflow as tf
from tensorflow.models.rnn import rnn_cell
from tensorflow.models.rnn import seq2seq

encoder_inputs = []
decoder_inputs = []
for i in xrange(350):  
    encoder_inputs.append(tf.placeholder(tf.float32, shape=[None,512],
                                          name=""encoder{0}"".format(i)))

for i in xrange(45):
    decoder_inputs.append(tf.placeholder(tf.float32, shape=[None,512],
                                         name=""decoder{0}"".format(i)))

model = seq2seq.basic_rnn_seq2seq(encoder_inputs,
                                  decoder_inputs,rnn_cell.BasicLSTMCell(512))
</code></pre>
",Data Preparation: Shape mismatch
Remove nodes from graph or reset entire default graph,"<p>When working with the default global graph, is it possible to remove nodes after they've been added, or alternatively to reset the default graph to empty? When working with TF interactively in IPython, I find myself having to restart the kernel repeatedly. I would like to be able to experiment with graphs more easily if possible.</p>
",Related to library: Lack of knowledge
Tensorflow indexing with boolean tensor,"<p>In numpy, with two arrays of the same shape, <code>x</code> and <code>y</code>, it is possible to do slices like this <code>y[x &gt; 1]</code>. How do you achieve the same result in tensorflow? <code>y[tf.greater(x, 1)]</code> doesn't work and <code>tf.slice</code> doesn't support anything like this either. Is there a way to index with a boolean tensor right now or is that currently unsupported?</p>
",Related to library: Lack of knowledge
Hyperparameter optimization for Deep Learning Structures using Bayesian Optimization,"<p>I have constructed a CLDNN (Convolutional, LSTM, Deep Neural Network) structure for raw signal classification task.</p>

<p>Each training epoch runs for about 90 seconds and the hyperparameters seems to be very difficult to optimize.</p>

<p>I have been research various ways to optimize the hyperparameters (e.g. random or grid search) and found out about Bayesian Optimization.</p>

<p>Although I am still not fully understanding the optimization algorithm, I feed like it will help me greatly.</p>

<p>I would like to ask few questions regarding the optimization task.</p>

<ol>
<li>How do I set up the Bayesian Optimization with regards to a deep network?(What is the cost function we are trying to optimize?)</li>
<li>What is the function I am trying to optimize? Is it the cost of the validation set after N epochs?",Hyper parameter tuning
ImportError: libcudnn when running a TensorFlow program,"<p>I encountered the following error when trying to run a TensorFlow program:</p>

<pre>
ImportError: libcudnn.<i>Version</i>: cannot open shared object file: No such file or director
</pre>
",Related to library: Bugs
Miminum requirements for Google tensorflow image classifier,"<p>We are planning to build image classifiers using Google Tensorflow.</p>

<p>I wonder what are the minimum and what are the optimum requirements to train a custom image classifier using a convolutional deep neural network?</p>

<p>The questions are specifically:</p>

<ul>
<li>how many images per class should be provided at a minimum?</li>
<li>do we need to appx. provide the same amount of training images per class or can the amount per class be disparate?</li>
<li>what is the impact of wrong image data in the training data? E.g. 500 images of a tennis shoe and 50 of other shoes.  </li>
<li>is it possible to train a classifier with much more classes than the recently published inception-v3 model? Let's say: 30.000.</li>
</ul>
",Training/Choosing a model: Lack of knowledge
TypeError: only integer scalar arrays can be converted to a scalar index,"<p>I am trying a simple demo code of tensorflow from <a href=""https://github.com/llSourcell/tensorflow_demo"" rel=""noreferrer"">github link</a>.<br>
I'm currently using python version 3.5.2 <br><br></p>

<pre><code>Z:\downloads\tensorflow_demo-master\tensorflow_demo-master&gt;py Python
3.5.2 (v3.5.2:4def2a2901a5, Jun 25 2016, 22:18:55) [MSC v.1900 64 bit (AMD64)] on win32&lt;br&gt; Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.
</code></pre>

<p>I ran into this error when I tried board.py in command-line. I have installed all the dependencies that are required for this to run.</p>

<pre><code>def _read32(bytestream):
    dt = numpy.dtype(numpy.uint32).newbyteorder('&gt;')
    return numpy.frombuffer(bytestream.read(4), dtype=dt)

def extract_images(filename):
    """"""Extract the images into a 4D uint8 numpy array [index, y, x, depth].""""""
    print('Extracting', filename)
    with gzip.open(filename) as bytestream:
        magic = _read32(bytestream)
        if magic != 2051:
            raise ValueError(
                'Invalid magic number %d in MNIST image file: %s' %
                (magic, filename))
        num_images = _read32(bytestream)
        rows = _read32(bytestream)
        cols = _read32(bytestream)
        buf = bytestream.read(rows * cols * num_images)
        data = numpy.frombuffer(buf, dtype=numpy.uint8)
        data = data.reshape(num_images, rows, cols, 1)
    return data

Z:\downloads\tensorflow_demo-master\tensorflow_demo-master&gt;py board.py
Extracting  Z:/downloads/MNIST dataset\train-images-idx3-ubyte.gz
Traceback (most recent call last):  
File ""board.py"", line 3, in &lt;module&gt;
    mnist = input_data.read_data_sets(r'Z:/downloads/MNIST dataset', one_hot=True)  
File ""Z:\downloads\tensorflow_demo-master\tensorflow_demo-master\input_data.py"", line 150, in read_data_sets
    train_images = extract_images(local_file) 
File ""Z:\downloads\tensorflow_demo-master\tensorflow_demo-master\input_data.py"", line 40, in extract_images
    buf = bytestream.read(rows * cols * num_images) 
File ""C:\Users\surak\AppData\Local\Programs\Python\Python35\lib\gzip.py"", line 274, in read
    return self._buffer.read(size)
TypeError: only integer scalar arrays can be converted to a scalar index
</code></pre>
",Data Preparation: Shape mismatch
What does tf.gfile do in TensorFlow?,"<p>I've seen people using several functions from <code>tf.gfile</code> such as <code>tf.gfile.GFile</code> or <code>tf.gfile.Exists</code>. I have the idea that <code>tf.gfile</code> deals with files. However, I haven't been able to find the official documentation to see what else it offers. </p>

<p>It'd be great if you could help me with it.</p>
",Related to library: Lack of knowledge
Theano with Keras on Raspberry Pi,"<p>I am trying to get Theano to run with Keras on a Raspberry Pi 3 (B) without success. I tried Ubuntu MATE and Raspbian as operating systems, without success. To install Theano and Keras, I have taken following steps:</p>

<ol>
<li>Install miniconda (armv7 distribution)</li>
<li>Install all Theano dependencies (as shown <a href=""http://deeplearning.net/software/theano/install_ubuntu.html"" rel=""noreferrer"">here</a>) through Conda (if possible), <code>pip</code> and <code>apt-get</code></li>
<li>Install Theano </li>
<li>Install Keras</li>
</ol>

<p>The aforementioned steps work without any issues. In the next step, I built a little test script (test.py) which loads an already built model via </p>

<pre><code>from keras.models import load_model
model = load_model('model.hdf5')
</code></pre>

<p>When the model is being loaded, I get the following error</p>

<pre><code>Segmentation fault (core dumped)
</code></pre>

<p>Then I tried to investigate the issue further, following this answer on SO (<a href=""https://stackoverflow.com/questions/10035541/what-causes-a-python-segmentation-fault"">What causes a Python segmentation fault?</a>):</p>

<pre><code>gdb python
&gt; run test.py
</code></pre>

<p>When I run this I get:</p>

<pre><code>Program received SIGSEV, Segmentation fault.
0x76fd9822 in ?? () from /lib/ld-linux-armhf.so.3
</code></pre>

<p>In the next step I ran in the gdb shell:</p>

<pre><code>&gt; backtrace
</code></pre>

<p>and got</p>

<pre><code>#0  0x76fd9822 in ?? () from /lib/ld-linux-armhf.so.3
#1  0x76fd983a in ?? () from /lib/ld-linux-armhf.so.3
</code></pre>

<p>this is the point where I don't know any further and I would like to ask, if anyone could point me into a direction on how to fix this issue and get keras + theano to run on a Raspberry Pi.</p>

<p>(I have also tried TensorFlow as an alternative, but getting the same issue)</p>

<p>Thanks a lot.</p>

<hr>

<p>EDIT</p>

<p>I have done some more investigations. If I <a href=""https://github.com/samjabrahams/tensorflow-on-raspberry-pi"" rel=""noreferrer"">run Keras with TensorFlow</a> the problem seems to change a little bit. I ran gdb again, but the error happens now in numpy, especially in libopenblas.so.0</p>

<pre><code>Program received signal SIGSEV, Segmentation fault.
0x75ead7cc in inner_thread()
from /home/&lt;path&gt;/numpy/core/../../../../libopenblas.so.0
</code></pre>

<p>Does this help?</p>

<hr>

<p>EDIT 2</p>

<p>I have installed everything without using Miniconda and Keras works now with TensorFlow (but not with Theano yet). </p>
",Related to library: Installation
Tensorflow: How can I assign numpy pre-trained weights to subsections of graph?,"<p>This is a simple thing which I just couldn't figure out how to do.</p>

<p>I converted a pre-trained VGG caffe model to tensorflow using the github code from <a href=""https://github.com/ethereon/caffe-tensorflow"" rel=""noreferrer"">https://github.com/ethereon/caffe-tensorflow</a> and saved it to vgg16.npy...</p>

<p>I then load the network to my sess default session as ""net"" using:</p>

<pre><code>images = tf.placeholder(tf.float32, [1, 224, 224, 3])
net = VGGNet_xavier({'data': images, 'label' : 1}) 
with tf.Session() as sess:
  net.load(""vgg16.npy"", sess) 
</code></pre>

<p>After net.load, I get a graph with a list of tensors. I can access individual tensors per layer using net.layers['conv1_1']... to get weights and biases for the first VGG convolutional layer, etc.</p>

<p>Now suppose that I make another graph that has as its first layer ""h_conv1_b"":</p>

<pre><code>  W_conv1_b = weight_variable([3,3,3,64])
  b_conv1_b = bias_variable([64])
  h_conv1_b = tf.nn.relu(conv2d(im_batch, W_conv1_b) + b_conv1_b)
</code></pre>

<p>My question is -- how do you get to assign the pre-trained weights from net.layers['conv1_1'] to h_conv1_b ?? (both are now tensors)</p>
",Choosing a model: Lack of knowledge
Using pre-trained inception_resnet_v2 with Tensorflow,"<p>I have been trying to use the pre-trained inception_resnet_v2 model released by Google. I am using their model definition(<a href=""https://github.com/tensorflow/models/blob/master/slim/nets/inception_resnet_v2.py"" rel=""noreferrer"">https://github.com/tensorflow/models/blob/master/slim/nets/inception_resnet_v2.py</a>) and given checkpoint(<a href=""http://download.tensorflow.org/models/inception_resnet_v2_2016_08_30.tar.gz"" rel=""noreferrer"">http://download.tensorflow.org/models/inception_resnet_v2_2016_08_30.tar.gz</a>) to load the model in tensorflow as below [Download a extract the checkpoint file and download sample images dog.jpg and panda.jpg to test this code]-</p>

<pre><code>import tensorflow as tf
slim = tf.contrib.slim
from PIL import Image
from inception_resnet_v2 import *
import numpy as np

checkpoint_file = 'inception_resnet_v2_2016_08_30.ckpt'
sample_images = ['dog.jpg', 'panda.jpg']
#Load the model
sess = tf.Session()
arg_scope = inception_resnet_v2_arg_scope()
with slim.arg_scope(arg_scope):
  logits, end_points = inception_resnet_v2(input_tensor, is_training=False)
saver = tf.train.Saver()
saver.restore(sess, checkpoint_file)
for image in sample_images:
  im = Image.open(image).resize((299,299))
  im = np.array(im)
  im = im.reshape(-1,299,299,3)
  predict_values, logit_values = sess.run([end_points['Predictions'], logits], feed_dict={input_tensor: im})
  print (np.max(predict_values), np.max(logit_values))
  print (np.argmax(predict_values), np.argmax(logit_values))
</code></pre>

<p>However, the results from this model code does not give the expected results (class no 918 is predicted irrespective of the input image). Can someone help me understand where I am going wrong?</p>

<p>Thanks!</p>
",Evaluation: Accuracy
Why do we need TensorFlow tf.Graph?,"<p>What is the purpose of:</p>

<pre><code>with tf.Graph().as_default()
</code></pre>

<p>I have some tensorflow code that uses the above.
However, the code has only one graph, so why do we need this?</p>
",Related to library: Lack of knowledge
Ordering of batch normalization and dropout in TensorFlow?,"<p>When using batch normalization and dropout in TensorFlow (specifically using the contrib.layers) do I need to be worried about the ordering?</p>

<p>It seems possible that if I use dropout followed immediately by batch normalization there might be trouble. For example, if the shift in the batch normalization trains to the larger scale numbers of the training outputs, but then that same shift is applied to the smaller (due to the compensation for having more outputs) scale numbers without dropout during testing, then that shift may be off. Does the TensorFlow batch normalization layer automatically compensate for this? Or does this not happen for some reason I'm missing?</p>

<p>Also, are there other pitfalls to look out for in when using these two together? For example, assuming I'm using them in the correct order in regards to the above (assuming there <em>is</em> a correct order), could there be trouble with using both batch normalization and dropout on multiple successive layers? I don't immediately see a problem with that, but I might be missing something.</p>

<p>Thank you much!</p>

<p><strong>UPDATE:</strong></p>

<p>An experimental test <em>seems</em> to suggest that ordering <em>does</em> matter. I ran the same network twice with only the batch norm and dropout reverse. When the dropout is before the batch norm, validation loss seems to be going up as training loss is going down. They're both going down in the other case. But in my case the movements are slow, so things may change after more training and it's just a single test. A more definitive and informed answer would still be appreciated.</p>
",Training
Whats the difference between tensorflow dynamic_rnn and rnn?,"<p>There are several classes in <code>tf.nn</code> that relate to RNNs. In the examples I find on the net, <code>tf.nn.dynamic_rnn</code> and <code>tf.nn.rnn</code> seem to be used interchangeably or at least I cannot seem to figure out why one is used in place of the other. What is the difference?</p>
",Related to library: Lack of knowledge
Training broke with ResourceExausted error,"<p>I am new to tensorflow and Machine Learning. Recently I am working on a model. My model is like below,</p>

<ol>
<li><p>Character level Embedding Vector -> Embedding lookup -> LSTM1</p></li>
<li><p>Word level Embedding Vector->Embedding lookup -> LSTM2 </p></li>
<li><p>[LSTM1+LSTM2] -> single layer MLP-> softmax layer</p></li>
<li><p>[LSTM1+LSTM2] -> Single layer MLP-> WGAN discriminator</p></li>
<li><p>Code of he rnn model </p></li>
</ol>

<p>while I'm working on this model I got the following error. I thought My batch is too big. Thus I tried to reduce the batch size from 20 to 10 but it doesn't work. </p>

<blockquote>
  <p>ResourceExhaustedError (see above for traceback): OOM when allocating
  tensor with shape[24760,100]   [[Node:
  chars/bidirectional_rnn/bw/bw/while/bw/lstm_cell/split =
  Split[T=DT_FLOAT, num_split=4,
  _device=""/job:localhost/replica:0/task:0/device:GPU:0""](gradients_2/Add_3/y,
  chars/bidirectional_rnn/bw/bw/while/bw/lstm_cell/BiasAdd)]]    [[Node:
  bi-lstm/bidirectional_rnn/bw/bw/stack/_167 =
  _Recvclient_terminated=false, recv_device=""/job:localhost/replica:0/task:0/device:CPU:0"",
  send_device=""/job:localhost/replica:0/task:0/device:GPU:0"",
  send_device_incarnation=1,
  tensor_name=""edge_636_bi-lstm/bidirectional_rnn/bw/bw/stack"",
  tensor_type=DT_INT32,
  _device=""/job:localhost/replica:0/task:0/device:CPU:0""]]</p>
</blockquote>

<p>tensor with <strong><em>shape[24760,100]</em></strong> means 2476000*32/8*1024*1024 = 9.44519043 MB memory. I am running the code on a titan X(11 GB) GPU. What could go wrong? Why this type of error occurred?</p>

<p><strong>* Extra info *</strong>: the size of the LSTM1 is 100. for bidirectional LSTM it becomes 200.
The size of the LSTM2 is 300. For Bidirectional LSTM it becomes 600.</p>

<p><strong>*Note *</strong>: The error occurred after 32 epoch. My question is why after 32 epoch there is an error. Why not at the initial epoch.</p>
",Training: Error/Exception
