Title,Body
"How to assign unique contiguous numbers to elements in a Spark RDD","<p>I have a dataset of <code>(user, product, review)</code>, and want to feed it into mllib's ALS algorithm.</p>

<p>The algorithm needs users and products to be numbers, while mine are String usernames and String SKUs.</p>

<p>Right now, I get the distinct users and SKUs, then assign numeric IDs to them outside of Spark.</p>

<p>I was wondering whether there was a better way of doing this. The one approach I've thought of is to write a custom RDD that essentially enumerates 1 through <code>n</code>, then call zip on the two RDDs.</p>
"
"How are number of iterations and number of partitions releated in Apache spark Word2Vec?","<p>According to <a href=""https://spark.apache.org/docs/1.3.1/api/scala/index.html#org.apache.spark.mllib.feature.Word2Vec"" rel=""noreferrer"">mllib.feature.Word2Vec - spark 1.3.1</a> documentation [1]:</p>

<pre><code>def setNumIterations(numIterations: Int): Word2Vec.this.type
</code></pre>

<blockquote>
  <p>Sets number of iterations (default: 1), which should be smaller than or equal to number of partitions.</p>
</blockquote>

<pre><code>def setNumPartitions(numPartitions: Int): Word2Vec.this.type
</code></pre>

<blockquote>
  <p>Sets number of partitions (default: 1). Use a small number for accuracy.</p>
</blockquote>

<p>But in this <a href=""https://github.com/apache/spark/pull/1719"" rel=""noreferrer"">Pull Request</a> [2]:</p>

<blockquote>
  <p>To make our implementation more scalable, we train each partition
  separately and merge the model of each partition after each iteration.
  To make the model more accurate, multiple iterations may be needed.</p>
</blockquote>

<p><strong>Questions:</strong> </p>

<ul>
<li><p>How do the parameters numIterations &amp; numPartitions effect the internal working of the algorithm?</p></li>
<li><p>Is there a trade-off between setting the number of partitions and number of iterations considering the following rules ? </p>

<ul>
<li><p>more accuracy -> more iteration a/c to [2]</p></li>
<li><p>more iteration -> more partition a/c to [1]</p></li>
<li><p>more partition -> less accuracy  </p></li>
</ul></li>
</ul>
"
"Proper save/load of MatrixFactorizationModel","<p>I have MatrixFactorizationModel object. If I'm trying to recommend products to single user right after constructing model through ALS.train(...) then it takes 300ms (for my data and hardware). But if I save model to disk and load it back then recommendation takes almost 2000ms. Also Spark warns:</p>

<pre><code>15/07/17 11:05:47 WARN MatrixFactorizationModel: User factor does not have a partitioner. Prediction on individual records could be slow.
15/07/17 11:05:47 WARN MatrixFactorizationModel: User factor is not cached. Prediction could be slow.
15/07/17 11:05:47 WARN MatrixFactorizationModel: Product factor does not have a partitioner. Prediction on individual records could be slow.
15/07/17 11:05:47 WARN MatrixFactorizationModel: Product factor is not cached. Prediction could be slow.
</code></pre>

<p>How can I create/set partitioner and cache user and product factors after loading model? Following approach didn't help:</p>

<pre><code>model.userFeatures().cache();
model.productFeatures().cache();
</code></pre>

<p>Also I was trying to repartition those rdds and create new model from repartitioned versions but that also didn't help.</p>
"
"What is rank in ALS machine Learning Algorithm in Apache Spark Mllib","<p>I Wanted to try an example of ALS machine learning algorithm. And my code works fine, However I do not understand  parameter <code>rank</code> used in algorithm.</p>

<p>I have following code in java</p>

<pre><code>    // Build the recommendation model using ALS
    int rank = 10;
    int numIterations = 10;
    MatrixFactorizationModel model = ALS.train(JavaRDD.toRDD(ratings),
            rank, numIterations, 0.01);
</code></pre>

<p>I have read some where that it is the number of latent factors in the model.</p>

<p>Suppose I have a dataset of (user,product,rating) that has 100 rows. What value should be of <code>rank</code> (latent factors).</p>
"
"Apache Spark: StackOverflowError when trying to indexing string columns","<p>I have csv file with about 5000 rows and 950 columns. First I load it to DataFrame:</p>

<pre><code>val data = sqlContext.read
  .format(csvFormat)
  .option(""header"", ""true"")
  .option(""inferSchema"", ""true"")
  .load(file)
  .cache()
</code></pre>

<p>After that I search all string columns</p>

<pre><code>val featuresToIndex = data.schema
  .filter(_.dataType == StringType)
  .map(field =&gt; field.name)
</code></pre>

<p>and want to index them. For that I create indexers for each string column</p>

<pre><code>val stringIndexers = featuresToIndex.map(colName =&gt;
  new StringIndexer()
    .setInputCol(colName)
    .setOutputCol(colName + ""Indexed""))
</code></pre>

<p>and create pipeline</p>

<pre><code>val pipeline = new Pipeline().setStages(stringIndexers.toArray)
</code></pre>

<p>But when I try to transform my initial dataframe with this pipeline</p>

<pre><code>val indexedDf = pipeline.fit(data).transform(data)
</code></pre>

<p>I get StackOverflowError</p>

<pre><code>16/07/05 16:55:12 INFO DAGScheduler: Job 4 finished: countByValue at StringIndexer.scala:86, took 7.882774 s
Exception in thread ""main"" java.lang.StackOverflowError
at scala.collection.immutable.Set$Set1.contains(Set.scala:84)
at scala.collection.immutable.Set$Set1.$plus(Set.scala:86)
at scala.collection.immutable.Set$Set1.$plus(Set.scala:81)
at scala.collection.mutable.SetBuilder.$plus$eq(SetBuilder.scala:22)
at scala.collection.mutable.SetBuilder.$plus$eq(SetBuilder.scala:20)
at scala.collection.generic.Growable$class.loop$1(Growable.scala:53)
at scala.collection.generic.Growable$class.$plus$plus$eq(Growable.scala:57)
at scala.collection.mutable.SetBuilder.$plus$plus$eq(SetBuilder.scala:20)
at scala.collection.TraversableLike$class.to(TraversableLike.scala:590)
at scala.collection.AbstractTraversable.to(Traversable.scala:104)
at scala.collection.TraversableOnce$class.toSet(TraversableOnce.scala:304)
at scala.collection.AbstractTraversable.toSet(Traversable.scala:104)
at org.apache.spark.sql.catalyst.trees.TreeNode.containsChild$lzycompute(TreeNode.scala:86)
at org.apache.spark.sql.catalyst.trees.TreeNode.containsChild(TreeNode.scala:86)
at org.apache.spark.sql.catalyst.trees.TreeNode$$anonfun$4.apply(TreeNode.scala:280)
at scala.collection.Iterator$$anon$11.next(Iterator.scala:409)
...
</code></pre>

<p>What am I doing wrong?
Thanks.</p>
"
"Addition of two RDD[mllib.linalg.Vector]'s","<p>I need addition of two matrices that are stored in two files.</p>

<p>The content of <code>latest1.txt</code> and <code>latest2.txt</code> has the next str:</p>

<pre>
1 2 3
4 5 6
7 8 9
</pre>

<p>I am reading those files as follows:</p>

<pre><code>scala&gt; val rows = sc.textFile(“latest1.txt”).map { line =&gt; val values = line.split(‘ ‘).map(_.toDouble)
    Vectors.sparse(values.length,values.zipWithIndex.map(e =&gt; (e._2, e._1)).filter(_._2 != 0.0))
}

scala&gt; val r1 = rows
r1: org.apache.spark.rdd.RDD[org.apache.spark.mllib.linalg.Vector] = MappedRDD[2] at map at :14

scala&gt; val rows = sc.textFile(“latest2.txt”).map { line =&gt; val values = line.split(‘ ‘).map(_.toDouble)
    Vectors.sparse(values.length,values.zipWithIndex.map(e =&gt; (e._2, e._1)).filter(_._2 != 0.0))
}

scala&gt; val r2 = rows
r2: org.apache.spark.rdd.RDD[org.apache.spark.mllib.linalg.Vector] = MappedRDD[2] at map at :14
</code></pre>

<p>I want to add r1, r2. So, Is there any way to add this two <code>RDD[mllib.linalg.Vector]</code>s in Apache-Spark.</p>
"
"AttributeError: 'DataFrame' object has no attribute 'map'","<p>I wanted to convert the spark data frame to add using the code below:</p>

<pre><code>from pyspark.mllib.clustering import KMeans
spark_df = sqlContext.createDataFrame(pandas_df)
rdd = spark_df.map(lambda data: Vectors.dense([float(c) for c in data]))
model = KMeans.train(rdd, 2, maxIterations=10, runs=30, initializationMode=""random"")
</code></pre>

<p>The detailed error message is:</p>

<pre><code>---------------------------------------------------------------------------
AttributeError                            Traceback (most recent call last)
&lt;ipython-input-11-a19a1763d3ac&gt; in &lt;module&gt;()
      1 from pyspark.mllib.clustering import KMeans
      2 spark_df = sqlContext.createDataFrame(pandas_df)
----&gt; 3 rdd = spark_df.map(lambda data: Vectors.dense([float(c) for c in data]))
      4 model = KMeans.train(rdd, 2, maxIterations=10, runs=30, initializationMode=""random"")

/home/edamame/spark/spark-2.0.0-bin-hadoop2.6/python/pyspark/sql/dataframe.pyc in __getattr__(self, name)
    842         if name not in self.columns:
    843             raise AttributeError(
--&gt; 844                 ""'%s' object has no attribute '%s'"" % (self.__class__.__name__, name))
    845         jc = self._jdf.apply(name)
    846         return Column(jc)

AttributeError: 'DataFrame' object has no attribute 'map'
</code></pre>

<p>Does anyone know what I did wrong here? Thanks!</p>
"
"Spark Word2vec vector mathematics","<p>I was looking at the <a href=""http://spark.apache.org/docs/latest/mllib-feature-extraction.html#example"">example</a> of Spark site for Word2Vec:</p>



<pre class=""lang-scala prettyprint-override""><code>val input = sc.textFile(""text8"").map(line =&gt; line.split("" "").toSeq)

val word2vec = new Word2Vec()

val model = word2vec.fit(input)

val synonyms = model.findSynonyms(""country name here"", 40)
</code></pre>

<p>How do I do the interesting vector such as king - man + woman = queen. I can use model.getVectors, but not sure how to proceed further. </p>
"
"Why spark.ml don't implement any of spark.mllib algorithms?","<p>Following the <a href=""http://spark.apache.org/docs/latest/mllib-guide.html"" rel=""nofollow noreferrer"">Spark MLlib Guide</a>  we can read that Spark has two machine learning libraries:</p>

<ul>
<li><code>spark.mllib</code>, built on top of RDDs.</li>
<li><code>spark.ml</code>, built on top of Dataframes.</li>
</ul>

<p>According to <a href=""https://stackoverflow.com/questions/31453324/which-is-efficient-dataframe-or-rdd-or-hiveql"">this</a> and <a href=""https://stackoverflow.com/questions/31508083/difference-between-dataframe-and-rdd-in-spark"">this</a> question on StackOverflow, Dataframes are better (and newer) than RDDs and should be used whenever possible.</p>

<p>The problem is that I want to use common machine learning algorithms (e.g: <a href=""http://spark.apache.org/docs/latest/mllib-frequent-pattern-mining.html"" rel=""nofollow noreferrer"">Frequent Pattern Mining</a>,<a href=""http://spark.apache.org/docs/latest/mllib-naive-bayes.html"" rel=""nofollow noreferrer"">Naive Bayes</a>, etc.) and <code>spark.ml</code> (for dataframes) don't provide such methods, only <code>spark.mllib</code>(for RDDs) provides this algorithms. </p>

<p>If Dataframes are better than RDDs and the referred guide recommends the use of <code>spark.ml</code>, why aren't common machine learning methods implemented in that lib?  </p>

<h3>What's the missing point here?</h3>
"
"apache spark MLLib: how to build labeled points for string features?","<p>I am trying to build a NaiveBayes classifier with Spark's MLLib which takes as input a set of documents. </p>

<p>I'd like to put some things as features (i.e. authors, explicit tags, implicit keywords, category), but looking at <a href=""https://spark.apache.org/docs/1.1.0/mllib-naive-bayes.html"" rel=""nofollow noreferrer"">the documentation</a> it seems that a <code>LabeledPoint</code> contains only doubles, i.e it looks like <code>LabeledPoint[Double, List[Pair[Double,Double]]</code>.</p>

<p>Instead what I have as output from the rest of my code would be something like <code>LabeledPoint[Double, List[Pair[String,Double]]</code>.</p>

<p>I could make up my own conversion, but it seems odd. How am I supposed to handle this using MLLib? </p>

<p>I believe the answer is in the <code>HashingTF</code> class (i.e. hashing features) but I don't understand how that works, it appears that it takes some sort of capacity value, but my list of keywords and topics is effectively unbounded (or better, unknown at the beginning).</p>
"
"What is the difference between HashingTF and CountVectorizer in Spark?","<p>Trying to do doc classification in Spark. I am not sure what the hashing does in HashingTF; does it sacrifice any accuracy? I doubt it, but I don't know. The spark doc says it uses the ""hashing trick""... just another example of really bad/confusing naming used by engineers (I'm guilty as well). CountVectorizer also requires setting the vocabulary size, but it has another parameter, a threshold param that can be used to exclude words or tokens that appear below some threshold in the text corpus. I do not understand the difference between these two Transformers. What makes this important is the subsequent steps in the algorithm. For example, if I wanted to perform SVD on the resulting tfidf matrix, then vocabulary size will determine the size of the matrix for SVD, which impacts the running time of the code, and the model performance etc. I am having a difficulty in general finding any source about Spark Mllib beyond API documentation and really trivial examples with no depth.</p>
"
"Optimal way to create a ml pipeline in Apache Spark for dataset with high number of columns","<p>I am working with Spark 2.1.1 on a dataset with ~2000 features and trying to create a basic ML Pipeline, consisting of some Transformers and a Classifier. </p>

<p>Let's assume for the sake of simplicity that the Pipeline I am working with consists of a VectorAssembler, StringIndexer and a Classifier, which would be a fairly common usecase.  </p>

<pre><code>// Pipeline elements
val assmbleFeatures: VectorAssembler = new VectorAssembler()
  .setInputCols(featureColumns)
  .setOutputCol(""featuresRaw"")

val labelIndexer: StringIndexer = new StringIndexer()
  .setInputCol(""TARGET"")
  .setOutputCol(""indexedLabel"")

// Train a RandomForest model.
val rf: RandomForestClassifier = new RandomForestClassifier()
  .setLabelCol(""indexedLabel"")
  .setFeaturesCol(""featuresRaw"")
  .setMaxBins(30)

// add the params, unique to this classifier
val paramGrid = new ParamGridBuilder()
  .addGrid(rf.numTrees, Array(5))
  .addGrid(rf.maxDepth, Array(5))
  .build()

// Treat the Pipeline as an Estimator, to jointly choose parameters for all Pipeline stages.
val evaluator = new BinaryClassificationEvaluator()
  .setMetricName(""areaUnderROC"")
  .setLabelCol(""indexedLabel"")
</code></pre>

<p>If the pipeline steps are separated into a transformer pipeline (VectorAssembler + StringIndexer) and a second classifier pipeline, and if the unnecessary columns are dropped in between both pipelines, training succeeds. 
This means for reusing the models, two PipelineModels have to be saved after training and an intermediary preprocessing step has to be introduced. </p>

<pre><code>// Split indexers and forest in two Pipelines.
val prePipeline = new Pipeline().setStages(Array(labelIndexer, assmbleFeatures)).fit(dfTrain)
// Transform data and drop all columns, except those needed for training 
val dfTrainT = prePipeline.transform(dfTrain)
val columnsToDrop = dfTrainT.columns.filter(col =&gt; !Array(""featuresRaw"", ""indexedLabel"").contains(col))
val dfTrainRdy = dfTrainT.drop(columnsToDrop:_*)

val mainPipeline = new Pipeline().setStages(Array(rf))

val cv = new CrossValidator()
  .setEstimator(mainPipeline)
  .setEvaluator(evaluator)
  .setEstimatorParamMaps(paramGrid)
  .setNumFolds(2)

val bestModel = cv.fit(dfTrainRdy).bestModel.asInstanceOf[PipelineModel]
</code></pre>

<p>The (imho) much cleaner solution would be to merge all pipeline stages into one pipeline. </p>

<pre><code>val pipeline = new Pipeline()
  .setStages(Array(labelIndexer, assmbleFeatures, rf))

val cv = new CrossValidator()
  .setEstimator(pipeline)
  .setEvaluator(evaluator)
  .setEstimatorParamMaps(paramGrid)
  .setNumFolds(2)

// This will fail! 
val bestModel = cv.fit(dfTrain).bestModel.asInstanceOf[PipelineModel]
</code></pre>

<p>However, putting all PipelineStages into one Pipeline leads to the following exception, probably due to the issue <a href=""https://github.com/apache/spark/pull/16648"" rel=""noreferrer"">this</a> PR will eventually solve: </p>

<blockquote>
  <p>ERROR CodeGenerator: failed to compile: org.codehaus.janino.JaninoRuntimeException: Constant pool for class org.apache.spark.sql.catalyst.expressions.GeneratedClass$SpecificUnsafeProjection has grown past JVM limit of 0xFFFF</p>
</blockquote>

<p>The reason for this is that the VectorAssembler effectively doubles (in this example) the amount  of data in the DataFrame, as there is no transformer that could drop the unnecessary columns. (See <a href=""https://stackoverflow.com/questions/40536335/spark-pipeline-vector-assembler-drop-other-columns"">spark pipeline vector assembler drop other columns</a>)</p>

<p>To the example works on the <a href=""https://github.com/MarcKaminski/stackoverflow/blob/master/golub/golub_merged.csv"" rel=""noreferrer"">golub dataset</a> and the following preprocessing steps are necessary:  </p>

<pre><code>import org.apache.spark.sql.types.DoubleType
import org.apache.spark.ml.classification.RandomForestClassifier
import org.apache.spark.ml.{Pipeline, PipelineModel, PipelineStage}
import org.apache.spark.ml.evaluation.BinaryClassificationEvaluator
import org.apache.spark.ml.feature._
import org.apache.spark.sql._
import org.apache.spark.ml.tuning.{CrossValidator, ParamGridBuilder}

val df = spark.read.option(""header"", true).option(""inferSchema"", true).csv(""/path/to/dataset/golub_merged.csv"").drop(""_c0"").repartition(100)

// Those steps are necessary, otherwise training would fail either way
val colsToDrop = df.columns.take(5000)
val dfValid = df.withColumn(""TARGET"", df(""TARGET_REAL"").cast(DoubleType)).drop(""TARGET_REAL"").drop(colsToDrop:_*)

// Split df in train and test sets
val Array(dfTrain, dfTest) = dfValid.randomSplit(Array(0.7, 0.3))

// Feature columns are columns except ""TARGET""
val featureColumns = dfTrain.columns.filter(col =&gt; col != ""TARGET"")
</code></pre>

<p>As I am new to Spark, I am not sure what would be the best way to solve this issue. Would you suggest... </p>

<ol>
<li><s>to create a new transformer, which drops columns and that can be incorporated into the pipeline? </s></li>
<li>split both Pipelines and introduce the intermediary step</li>
<li>anything else? :) </li>
</ol>

<p>Or am I missing anything important (pipeline steps, PR, etc.) that would solve this issue? </p>

<hr>

<h3>Edit:</h3>

<p>I implemented a new Transformer <code>DroppingVectorAssembler</code>, which drops unnecessary columns, however, the same exception is thrown. </p>

<p>Besides that, setting <code>spark.sql.codegen.wholeStage</code> to <code>false</code> does not solve the issue. </p>
"
